data.name,date,eur,inr,usd,btc,eth,ltc,xrp
Nano,12-07-2021,4.041219703,357.3411329,4.796728411,0.000139804,0.002237899,,
Litecoin,12-07-2021,113.0655062,9997.713331,134.2031777,0.003910342,0.062604092,,
Dash,12-07-2021,108.0517093,9554.372952,128.2520481,0.003736942,0.059827965,,
Swipe,12-07-2021,1.644461172,145.4099657,1.95189428,5.69E-05,0.00091065,,
NEO,12-07-2021,28.80658378,2547.622029,34.19771709,0.000996729,0.015953056,,
NEM,12-07-2021,0.103655881,9.165675864,0.123034417,3.58E-06,5.74E-05,,
Cosmos,12-07-2021,11.81810183,1045.004778,14.02750382,0.000408726,0.006543654,,
Filecoin,12-07-2021,46.50781725,4113.099306,55.21172482,0.001609183,0.025758769,,
XRP,12-07-2021,0.537940157,47.5668633,0.638508427,1.86E-05,0.000297856,,
TRON,12-07-2021,0.052318092,4.626179127,0.062098994,1.81E-06,2.90E-05,,
Cardano,12-07-2021,1.136062717,100.4721152,1.348676112,3.93E-05,0.00062915,,
Chainlink,12-07-2021,15.47362568,1368.24111,18.36643028,0.000535152,0.008567708,,
Tether,12-07-2021,0.842876699,74.56838977,1.000960373,2.91E-05,0.000465328,,
Uniswap,12-07-2021,17.41480335,1539.887959,20.67051241,0.000602287,0.009642534,,
Stellar,12-07-2021,0.208200461,18.40993417,0.247123676,7.20E-06,0.00011528,,
Status,12-07-2021,0.058845282,5.20333992,0.069846447,2.04E-06,3.26E-05,,
Bitcoin,13-07-2021,28042.04749,2479459.592,33262.65435,1,16.29177819,,
Ethereum,13-07-2021,1721.926897,152251.6557,2042.499187,0.061452562,1,,
Dogecoin,13-07-2021,0.175155077,15.48709795,0.207763816,6.25E-06,0.000101721,,
Binance Coin,13-07-2021,267.8428938,23686.28176,317.7586463,0.009558766,0.155513641,,
Nano,13-07-2021,3.725803144,329.4857735,4.42015148,0.000132981,0.002164001,,
Litecoin,13-07-2021,112.8199794,9975.469162,133.8237509,0.004026348,0.065519871,,
Dash,13-07-2021,107.5782131,9511.995596,127.6061214,0.003839278,0.06247573,,
Swipe,13-07-2021,1.61309143,142.6513041,1.913710465,5.76E-05,0.000936907,,
NEO,13-07-2021,28.57508435,2526.590364,33.89492704,0.001019795,0.016594896,,
NEM,13-07-2021,0.101869508,9.008676079,0.120854119,3.64E-06,5.92E-05,,
Cosmos,13-07-2021,11.01401091,973.851678,13.06449674,0.000393071,0.006396354,,
Filecoin,13-07-2021,44.44697086,3930.600735,52.73019975,0.001586393,0.025815446,,
XRP,13-07-2021,0.534193681,47.2330577,0.633644879,1.91E-05,0.000310354,,
TRON,13-07-2021,0.051015831,4.510786585,0.060513483,1.82E-06,2.96E-05,,
Cardano,13-07-2021,1.112604843,98.37579623,1.319739236,3.97E-05,0.000646398,,
Chainlink,13-07-2021,14.85112619,1313.126914,17.61597035,0.000530011,0.008624748,,
Tether,13-07-2021,0.844967037,74.72018624,1.002396398,3.02E-05,0.000490698,,
Uniswap,13-07-2021,16.56628652,1464.780274,19.65044324,0.000591222,0.009620822,,
Stellar,13-07-2021,0.203223346,17.96887604,0.241057574,7.26E-06,0.000118068,,
Status,13-07-2021,0.057943952,5.124185886,0.068742506,2.07E-06,3.37E-05,,
Bitcoin,14-07-2021,27751.69332,2439591.072,32676.3838,1,16.80291621,,
Ethereum,14-07-2021,1651.353299,145166.8812,1944.395017,0.059414528,1,,
Dogecoin,14-07-2021,0.167951042,14.76421123,0.197754877,6.04E-06,0.00010169,,
Binance Coin,14-07-2021,262.3116671,23059.24881,308.8603139,0.009437789,0.158822776,,
Nano,14-07-2021,3.570570509,313.8677924,4.204009666,0.00012869,0.002166086,,
Litecoin,14-07-2021,111.4544191,9797.71586,131.2326182,0.004010051,0.067482703,,
Dash,14-07-2021,105.2210693,9249.755619,123.8931262,0.00378578,0.063708574,,
Swipe,14-07-2021,1.55301079,136.5218048,1.828601089,5.60E-05,0.000942112,,
NEO,14-07-2021,28.22811779,2481.472512,33.23735241,0.001015628,0.017091379,,
NEM,14-07-2021,0.098947207,8.698234003,0.116505932,3.57E-06,6.00E-05,,
Cosmos,14-07-2021,10.19581154,896.2916432,12.00511433,0.000367487,0.006185145,,
Filecoin,14-07-2021,43.18761385,3796.368391,50.84933783,0.001556558,0.02619976,,
XRP,14-07-2021,0.526525707,46.28573105,0.619960587,1.89E-05,0.000318797,,
TRON,14-07-2021,0.050541461,4.442990008,0.059510321,1.82E-06,3.06E-05,,
Cardano,14-07-2021,1.074071821,94.41932051,1.264671768,3.86E-05,0.000650322,,
Chainlink,14-07-2021,14.31784188,1258.650376,16.85862161,0.000515146,0.008669075,,
Tether,14-07-2021,0.852512457,74.96629069,1.004131255,3.07E-05,0.000516234,,
Uniswap,14-07-2021,15.62399312,1373.413077,18.39577678,0.000562024,0.009463821,,
Stellar,14-07-2021,0.198552228,17.45429501,0.233786412,7.14E-06,0.000120226,,
Status,14-07-2021,0.056877553,4.99998212,0.066970787,2.05E-06,3.45E-05,,
Bitcoin,15-07-2021,27781.90666,2448440.499,32878.50187,1,16.46065401,,
Ethereum,15-07-2021,1687.99953,148764.6785,1997.663314,0.06079435,1,15.22465856,3208.165463
Dogecoin,15-07-2021,0.166580044,14.68082554,0.197139179,6.00E-06,9.87E-05,0.001502444,0.316597447
Binance Coin,15-07-2021,261.4676778,23043.34469,309.433965,0.009416921,0.154918416,2.358268499,496.9382743
Nano,15-07-2021,3.521057771,310.3134911,4.166996381,0.000126813,0.002086211,0.031757652,6.69202552
Litecoin,15-07-2021,110.8727062,9771.295666,131.2123219,0.003993149,0.065691577,1,210.7216149
Dash,15-07-2021,104.3656819,9197.826682,123.5115829,0.003758795,0.061836194,0.941310613,198.3545435
Swipe,15-07-2021,1.546825962,136.3460191,1.830901281,5.57E-05,0.000917066,0.01396252,2.942413353
NEO,15-07-2021,27.77174291,2447.959036,32.87203662,0.001000719,0.016465318,0.250713694,52.83596905
NEM,15-07-2021,0.097842636,8.622945676,0.115791883,3.53E-06,5.80E-05,0.000883025,0.186085543
Cosmos,15-07-2021,9.890014193,871.6144496,11.70433887,0.000356195,0.005859789,0.089201499,18.79668886
Filecoin,15-07-2021,42.04821298,3705.740892,49.76196436,0.001514885,0.024924965,0.379483228,79.97090926
XRP,15-07-2021,0.526177812,46.37244954,0.622705216,1.90E-05,0.000311758,0.004745782,1
TRON,15-07-2021,0.050784501,4.475676576,0.060100926,1.83E-06,3.01E-05,0.000458043,0.096519625
Cardano,15-07-2021,1.068313695,94.15129594,1.264296013,3.85E-05,0.000632971,0.009635495,2.030407614
Chainlink,15-07-2021,14.32019104,1262.262911,16.95010089,0.00051601,0.008490159,0.129277734,27.2442811
Tether,15-07-2021,0.847082144,74.66324579,1.002607644,3.03E-05,0.000498463,0.007601699,1.599720543
Uniswap,15-07-2021,15.13188224,1333.584255,17.90782845,0.000544984,0.008965572,0.136479742,28.75923904
Stellar,15-07-2021,0.203938262,17.97323363,0.241350768,7.34E-06,0.000120832,0.001839391,0.387599449
Status,15-07-2021,0.057322373,5.052719319,0.067849654,2.07E-06,3.40E-05,0.000517424,0.109040138
Bitcoin,16-07-2021,26862.05637,2365161.918,31726.03883,1,16.60658914,252.7607802,53178.73812
Ethereum,16-07-2021,1617.789581,142443.8344,1910.726952,0.06012777,1,15.22272722,3202.733525
Dogecoin,16-07-2021,0.154742247,13.62481206,0.182761828,5.75E-06,9.57E-05,0.00145606,0.306342795
Binance Coin,16-07-2021,266.3987219,23455.9895,314.6362318,0.00990114,0.16469231,2.506701194,527.3888072
